applicant_par_number
NA
NA
N/A
NA
NA
123
2022-20-JA-5
NA
NA
NA
NA
NA
NA
"2298C, 2300C"
2022-57-JA-R
NA
2022-36-JA-R-1
2022-36-JA-R-2
2022-26-JA-3
2023-01-JA-3
NA
10237I
3097
2022-80-JA-A
NA
NA
2022-27-JA-7
WPM1E-21-9712
WPM1E-20-8700
"9710U, 9711U"
"1234, 4567, 6789C, 2468U"
"5770C 5773C"
"9448U, 9987U"
"1234, 4567U, 4236C"
"1234, 4578U, 6789R"
"1234U, 4567, 1122R, 8910C"
